title,link,artist
Part Figure/Part Landscape Composition (Circa 1970),https://collections.ed.ac.uk/record/123114?highlight=*:*,Helen Grant
Reclining Male Nude (1958),https://collections.ed.ac.uk/record/20880?highlight=*:*,Ian Hodkinson
Untitled,https://collections.ed.ac.uk/record/122771?highlight=*:*,Elaine Speirs
Untitled (1989),https://collections.ed.ac.uk/record/21896?highlight=*:*,Joanne Leonie Milne
River Scene with Boats (Circa 1954),https://collections.ed.ac.uk/record/122891?highlight=*:*,Valerie M. Fraser
Bathers (Circa 1959),https://collections.ed.ac.uk/record/122835?highlight=*:*,Robert M E Callender
Sugar Bowl,https://collections.ed.ac.uk/record/53676?highlight=*:*,Emma Gillies
Seascape (1978),https://collections.ed.ac.uk/record/21492?highlight=*:*,Michael Kinane
Back of Standing Male Nude with Stick (1954),https://collections.ed.ac.uk/record/21377?highlight=*:*,John P Busby
Untitled (1981-1986),https://collections.ed.ac.uk/record/21860?highlight=*:*,Paul John Croft
Portrait of a Man (Circa 1951),https://collections.ed.ac.uk/record/21391?highlight=*:*,Helmut F G Petzsch
untitled,https://collections.ed.ac.uk/record/112357?highlight=*:*,Joyce M Cumming
Untitled (1962),https://collections.ed.ac.uk/record/21767?highlight=*:*,Leslie Johns
Untitled (2002),https://collections.ed.ac.uk/record/99951?highlight=*:*,Zillah Green
Unknown (1949),https://collections.ed.ac.uk/record/50452?highlight=*:*,Mary D Thomson
Seated Male Nude (25 JAN 1954),https://collections.ed.ac.uk/record/21229?highlight=*:*,Catherine M Gibson
Male Portrait (1961),https://collections.ed.ac.uk/record/123106?highlight=*:*,Paresh C. Chakraborty
Man in Black (possibly),https://collections.ed.ac.uk/record/21482?highlight=*:*,Claudia Petretti
Portrait of a Woman (1950),https://collections.ed.ac.uk/record/21368?highlight=*:*,Zygmunt Bukowski
Self Portrait - Male,https://collections.ed.ac.uk/record/22697?highlight=*:*,Alexander Cree
Anti-Matter (2013),https://collections.ed.ac.uk/record/47441?highlight=*:*,Marissa Stoffer
Still Life with Blue Jug,https://collections.ed.ac.uk/record/122794?highlight=*:*,Steiga
Untitled - Kings and Queens (1969),https://collections.ed.ac.uk/record/99446?highlight=*:*,Michael T R B Turnbull
Mourner No. 54 from the Tomb of John the fearless (Pre 1895),https://collections.ed.ac.uk/record/20610?highlight=*:*,Unknown
Elders from East Frieze of the Parthenon,https://collections.ed.ac.uk/record/20685?highlight=*:*,NA
Untitled - Figure Drawing of A Woman Sitting on the Side of a Chair (1964-1965),https://collections.ed.ac.uk/record/99274?highlight=*:*,Gordon Bryce
Inverleith,https://collections.ed.ac.uk/record/22526?highlight=*:*,Janice McNab
Riders from South Frieze of the Parthenon (1836-1837),https://collections.ed.ac.uk/record/20728?highlight=*:*,NA
Piana degli Greci (1958),https://collections.ed.ac.uk/record/53481?highlight=*:*,Beatrice Patricia Grimshaw
Step 3 (2013),https://collections.ed.ac.uk/record/21308?highlight=*:*,Maria Hadam
Barley Field (1963),https://collections.ed.ac.uk/record/99257?highlight=*:*,Anne E Jones
Seated Female Nude (1953),https://collections.ed.ac.uk/record/20927?highlight=*:*,Diana Douglas-Hamilton
Unknown (1960),https://collections.ed.ac.uk/record/53577?highlight=*:*,Hugh Deans
Untitled (JAN 1997),https://collections.ed.ac.uk/record/21920?highlight=*:*,Sharon Cornwill
Harbour (Circa 1965),https://collections.ed.ac.uk/record/22619?highlight=*:*,James B. Thomson
Seated Elderly Couple (Apr 1963),https://collections.ed.ac.uk/record/20767?highlight=*:*,John Bellany
Portrait of Man at a Writing Bureau,https://collections.ed.ac.uk/record/122768?highlight=*:*,Unknown
Church (1989),https://collections.ed.ac.uk/record/21452?highlight=*:*,Joanne Leonie Milne
Portrait of a Woman (1939),https://collections.ed.ac.uk/record/21135?highlight=*:*,Jessie May Stirling
Fine lawn collar (1820),https://collections.ed.ac.uk/record/102681?highlight=*:*,Unknown
Gem cabinet 2 (of 6) containing 43 medallions (Unknown),https://collections.ed.ac.uk/record/20616?highlight=*:*,Unknown
Unknown,https://collections.ed.ac.uk/record/50459?highlight=*:*,J Hamilton Glass
Portrait of a Man (1955),https://collections.ed.ac.uk/record/21316?highlight=*:*,Alexander S Campbell
Landscape (possibly),https://collections.ed.ac.uk/record/21487?highlight=*:*,Donald Clark
On Italian Balcony,https://collections.ed.ac.uk/record/53477?highlight=*:*,Muriel Davidson
Placa del Sol (1991),https://collections.ed.ac.uk/record/21839?highlight=*:*,Caroline Conway
"Metope 9, south entablature, Parthenon (1837)",https://collections.ed.ac.uk/record/20645?highlight=*:*,NA
Chinese spectacle case,https://collections.ed.ac.uk/record/102704?highlight=*:*,Unknown
Reclining Nude (1968),https://collections.ed.ac.uk/record/21177?highlight=*:*,Michael Docherty
Portrait of a Seated Woman (1962),https://collections.ed.ac.uk/record/21286?highlight=*:*,Carl O Ekevall
Untitled (Unknown),https://collections.ed.ac.uk/record/21953?highlight=*:*,J.
South Frieze of the Parthenon Frieze (1836-1837),https://collections.ed.ac.uk/record/20690?highlight=*:*,NA
Portrait of Man in a Hat (1951),https://collections.ed.ac.uk/record/21239?highlight=*:*,Adam Hogg
Untitled - Two Boys in Patterned Shirts (1985-1986),https://collections.ed.ac.uk/record/99467?highlight=*:*,Dorothy Black
Italian Cityscape (1953-1954),https://collections.ed.ac.uk/record/20798?highlight=*:*,Trevor Stubley
Flowers Behind the Door (1953),https://collections.ed.ac.uk/record/21658?highlight=*:*,Bernard Reder
Portrait of a Woman (1939),https://collections.ed.ac.uk/record/21132?highlight=*:*,Olivia Cochrane
Abstract Butterfly (1961),https://collections.ed.ac.uk/record/122911?highlight=*:*,John G. Mitchell
Portrait of a Woman (1959),https://collections.ed.ac.uk/record/20961?highlight=*:*,V Thomson
Crazily Paved (Unknown),https://collections.ed.ac.uk/record/21661?highlight=*:*,John Brown
Untitled (1964),https://collections.ed.ac.uk/record/99847?highlight=*:*,James Goodall
Untitled (Unknown),https://collections.ed.ac.uk/record/21603?highlight=*:*,Anna Chapman
Untitled (1965),https://collections.ed.ac.uk/record/22025?highlight=*:*,Hugh Tuckerman
Untitled - City Scene at Night (1964-1965),https://collections.ed.ac.uk/record/99483?highlight=*:*,William Gillon
The Bakery,https://collections.ed.ac.uk/record/122688?highlight=*:*,Mollie E N Langlands
Woman with Cigarettes (Circa 1964),https://collections.ed.ac.uk/record/122718?highlight=*:*,Kirkland Main
Untitled (1961),https://collections.ed.ac.uk/record/99531?highlight=*:*,Dr Ainslie Yule
Untitled (Unknown),https://collections.ed.ac.uk/record/21942?highlight=*:*,Ruth Beale
Untitled (2002),https://collections.ed.ac.uk/record/99949?highlight=*:*,Kirsty MacDonald
Unknown (1968),https://collections.ed.ac.uk/record/53589?highlight=*:*,Gillian Mather
Portrait of a Man (Circa 1952),https://collections.ed.ac.uk/record/21351?highlight=*:*,John Houston
Portrait of a Woman (Carole Danielson) (1964),https://collections.ed.ac.uk/record/21168?highlight=*:*,Kirkland Main
Untitled,https://collections.ed.ac.uk/record/112500?highlight=*:*,Susan Pettinger
Saucer,https://collections.ed.ac.uk/record/53621?highlight=*:*,Emma Gillies
